List of Canadian Companies on U.S. Exchanges

Symbol	Name	U.S. Exchange	Cross-list symbol	Cross-list exchange	GICS Sector	Industry	Market cap	Average Volume	Action
SHOP	Shopify Inc. Class A	New York Stock Exchange	CT:SHOP	Toronto Stock Exchange	Information Technology	Software—Application	$148,873,263,850	1,066,588	Analyze
RY	Royal Bank Of Canada	New York Stock Exchange	CT:RY	Toronto Stock Exchange	Financials	Banks—Diversified	$117,430,682,400	1,355,147	Analyze
TD	The Toronto-Dominion Bank	New York Stock Exchange	CT:TD	Toronto Stock Exchange	Financials	Banks—Diversified	$104,928,032,830	1,769,388	Analyze
CNI	Canadian National Railway Company	New York Stock Exchange	CT:CNR	Toronto Stock Exchange	Industrials	Railroads	$75,204,423,158	848,192	Analyze
ENB	Enbridge Inc	New York Stock Exchange	CT:ENB	Toronto Stock Exchange	Energy	Oil & Gas Midstream	$69,775,888,632	4,560,092	Analyze
BNS	The Bank Of Nova Scotia	New York Stock Exchange	CT:BNS	Toronto Stock Exchange	Financials	Banks—Diversified	$65,633,055,056	1,219,615	Analyze
BAM	Brookfield Asset Management Inc.	New York Stock Exchange	CT:BAM-A	Toronto Stock Exchange	Financials	Asset Management	$62,354,414,417	3,182,405	Analyze
BMO	Bank Of Montreal	New York Stock Exchange	CT:BMO	Toronto Stock Exchange	Financials	Banks—Diversified	$48,779,507,786	552,681	Analyze
CP	Canadian Pacific Railway Limited	New York Stock Exchange	CT:CP	Toronto Stock Exchange	Industrials	Railroads	$47,255,968,533	329,599	Analyze
TRI	Thomson Reuters Corporation	New York Stock Exchange	CT:TRI	Toronto Stock Exchange	Industrials	Consulting Services	$42,120,768,147	455,406	Analyze
TRP	TransCanada Corporation	New York Stock Exchange	CT:TRP	Toronto Stock Exchange	Energy	Oil & Gas Midstream	$40,469,757,008	2,342,689	Analyze
GOLD	Barrick Gold Corporation	New York Stock Exchange	CT:ABX	Toronto Stock Exchange	Materials	Gold	$39,724,762,232	19,338,199	Analyze
BCE	BCE, Inc.	New York Stock Exchange	CT:BCE	Toronto Stock Exchange	Communication Services	Telecom Services	$38,933,323,990	1,100,570	Analyze
