,term,score
0,absolute,142.3981137314139
1,endpoint,70.27978902798151
2,devices,63.50492632952295
3,security,50.900091843937645
4,device,48.87477738837306
5,demo,38.30946698559642
6,your,34.82503980413388
7,cisos,25.556286919266004
8,software,23.94705874210878
9,unbreakable,23.934426486833345
10,healing,23.934426486833345
11,connection,22.986561302942228
12,manage,22.7182922662327
13,data,22.475262885352866
14,self,21.87084354637118
15,education,21.548150940683325
16,solutions,21.21121689226506
17,embedded,21.161837764593564
18,it,21.035581038118764
19,partners,20.354821483365665
20,resellers,19.167215189449504
21,persistence,19.167215189449504
22,vpn,19.167215189449504
23,compatibility,17.95081986512501
24,simplify,17.95081986512501
25,back,17.634505103909483
26,compare,16.41834299382704
27,support,16.126618534224043
28,partner,15.951993061329098
29,products,15.428156423157574
30,resilience,15.4089262839634
31,controls,14.654982999120682
32,compliance,14.5929268235652
33,platform,14.342845395639864
34,login,14.10748339554813
35,manufacturers,14.052970912734228
36,extend,14.052970912734228
37,blog,13.994799887681344
38,register,13.791936781765337
39,services,13.71857018867823
40,resources,13.428190943507131
41,risks,13.329484742283562
42,maintain,13.122506127822707
43,every,12.92828523466555
44,undeletable,12.778143459633002
45,antivirus,12.778143459633002
46,cybersecurity,12.778143459633002
47,encryption,12.778143459633002
48,helpdesk,12.778143459633002
49,remediate,12.778143459633002
50,firmware,12.778143459633002
51,or,12.310685933904065
52,audits,11.967213243416673
53,console,11.967213243416673
54,prove,11.967213243416673
55,aren,11.967213243416673
56,automatically,11.967213243416673
57,automate,11.967213243416673
58,request,11.756336735939655
59,applications,11.712495240085502
60,with,11.52249471550666
61,critical,11.472367117064893
62,asking,11.391849098513111
63,apps,11.391849098513111
64,network,11.250043200603727
65,control,11.144769241169916
66,factory,10.945561995884692
67,automated,10.945561995884692
68,industries,10.757134046729899
69,from,10.703409262970457
70,haven,10.580918882296782
71,dashboard,10.580918882296782
72,by,10.54388865061091
73,what,10.419528383592958
74,stake,10.272617522642266
75,become,10.180018368787529
76,webinars,10.00555473739322
77,as,9.911762412761238
78,an,9.58716468226466
79,customer,9.571195836797457
80,free,9.392925575385057
81,challenge,9.368647275156151
82,collection,9.368647275156151
83,that,9.202359476584018
84,higher,9.194624521176891
85,present,9.194624521176891
86,all,9.06038926919209
87,hub,9.034539105829818
88,student,8.886323161522375
89,requirements,8.61926037627333
90,secure,8.383694304960564
91,teams,8.383694304960564
92,off,8.383694304960564
93,portal,8.27555986242001
94,at,8.199005999273263
95,capabilities,8.17297327364491
96,professional,7.982352914036261
97,application,7.893449388894593
98,find,7.780747621932919
99,out,7.780747621932919
100,healthcare,7.726686171016491
101,government,7.5727640887442345
102,always,7.5727640887442345
103,updates,7.491754295117622
104,stories,7.362043057428582
105,protection,7.362043057428582
106,learn,7.2574430052524725
107,covid,7.064493274992317
108,center,7.053741697774065
109,take,6.942601995464443
110,featured,6.942601995464443
111,use,6.644053379762591
112,company,6.576558405813003
113,product,6.551112841212253
114,financial,6.524721827242982
115,they,6.507155027774703
116,are,6.473548421403344
117,resource,6.42203579893711
118,maliciously,6.389071729816501
119,2295,6.389071729816501
120,scripting,6.389071729816501
121,knowing,6.389071729816501
122,apria,6.389071729816501
123,fallat,6.389071729816501
124,patch,6.389071729816501
125,janet,6.389071729816501
126,lifecycles,6.389071729816501
127,compromised,6.389071729816501
128,francais,6.389071729816501
129,safeguard,6.389071729816501
130,reveals,6.389071729816501
131,forrester,6.389071729816501
132,misconfigured,6.389071729816501
133,deakins,6.389071729816501
134,vulnerabilities,6.389071729816501
135,procurementogletree,6.389071729816501
136,breaches,6.389071729816501
137,heals,6.389071729816501
138,sccm,6.389071729816501
139,configurations,6.389071729816501
140,espanol,6.389071729816501
141,fix,6.389071729816501
142,enforcing,6.389071729816501
143,altered,6.389071729816501
144,netmotion,6.389071729816501
145,enforce,6.389071729816501
146,reinstall,6.389071729816501
147,msps,6.389071729816501
148,tickets,6.389071729816501
149,when,6.3403918098966
150,available,6.30078655530424
151,19,6.255019909836994
152,team,6.0399441244686445
153,deploy,5.983606621708336
154,vulnerable,5.983606621708336
155,chances,5.983606621708336
156,mike,5.983606621708336
157,signifies,5.983606621708336
158,deutsch,5.983606621708336
159,windows,5.983606621708336
160,portuguese,5.983606621708336
161,sight,5.983606621708336
162,hunt,5.983606621708336
163,workflows,5.983606621708336
164,recover,5.983606621708336
165,podcast,5.983606621708336
166,japanese,5.983606621708336
167,commands,5.983606621708336
168,heal,5.983606621708336
169,date,5.846671654033548
170,policy,5.821666061621359
171,these,5.7550525819709595
172,on,5.73297868886096
173,anything,5.695924549256556
174,proactive,5.695924549256556
175,installed,5.695924549256556
176,easily,5.695924549256556
177,resolving,5.695924549256556
178,remotely,5.695924549256556
179,securing,5.695924549256556
180,nothing,5.695924549256556
181,visibility,5.695924549256556
182,you,5.618198272605076
183,events,5.50558451464788
184,why,5.502971140180231
185,gdpr,5.472780997942346
186,biggest,5.472780997942346
187,sleep,5.472780997942346
188,bios,5.472780997942346
189,schools,5.472780997942346
190,pc,5.472780997942346
191,detect,5.472780997942346
192,load,5.472780997942346
193,keeps,5.472780997942346
194,night,5.472780997942346
195,anywhere,5.472780997942346
196,benchmark,5.472780997942346
197,unrivaled,5.472780997942346
198,distributors,5.472780997942346
199,sensitive,5.472780997942346
200,confidence,5.290459441148391
201,spend,5.290459441148391
202,seen,5.290459441148391
203,depend,5.290459441148391
204,distance,5.290459441148391
205,disabled,5.290459441148391
206,negligence,5.290459441148391
207,applied,5.290459441148391
208,12,5.232621583443725
209,app,5.136308761321133
210,hardware,5.136308761321133
211,logos,5.136308761321133
212,facing,5.136308761321133
213,accessed,5.136308761321133
214,cases,5.136308761321133
215,ecosystem,5.136308761321133
216,respond,5.136308761321133
217,manufacturer,5.136308761321133
218,half,5.136308761321133
219,virtually,5.136308761321133
220,vertical,5.00277736869661
221,custom,5.00277736869661
222,remote,5.00277736869661
223,question,5.00277736869661
224,detail,5.00277736869661
225,leading,4.994502863411748
226,investor,4.958619844266016
227,over,4.954097448776709
228,share,4.91449219418435
229,industry,4.91449219418435
230,leadership,4.894979844293621
231,vendors,4.884994333040227
232,lifecycle,4.884994333040227
233,ensuring,4.884994333040227
234,already,4.884994333040227
235,global,4.875656022470147
236,intended,4.7796338173824005
237,600,4.7796338173824005
238,activate,4.7796338173824005
239,unparalleled,4.7796338173824005
240,insight,4.7796338173824005
241,relations,4.709662183328211
242,repair,4.684323637578076
243,gives,4.684323637578076
244,exclusive,4.684323637578076
245,entire,4.684323637578076
246,enables,4.684323637578076
247,tracking,4.684323637578076
248,protected,4.684323637578076
249,maximize,4.684323637578076
250,have,4.64008995115738
251,46,4.5973122605884456
252,resilient,4.5973122605884456
253,outside,4.5973122605884456
254,can,4.523874689542819
255,remains,4.517269552914909
256,press,4.47606364783571
257,terms,4.460377292913658
258,protect,4.4431615807611875
259,linked,4.374168709274236
260,providers,4.374168709274236
261,workforce,4.374168709274236
262,advisors,4.374168709274236
263,more,4.3637933900574275
264,report,4.324475969096643
265,cloud,4.309630188136665
266,between,4.309630188136665
267,challenges,4.24900556632023
268,comprehensive,4.24900556632023
269,features,4.24900556632023
270,even,4.24900556632023
271,learning,4.24900556632023
272,877,4.24900556632023
273,up,4.224811221600891
274,legal,4.224811221600891
275,director,4.191847152480282
276,found,4.191847152480282
277,zero,4.191847152480282
278,efficiency,4.191847152480282
279,organizations,4.191847152480282
280,trusted,4.191847152480282
281,healthy,4.137779931210005
282,reduce,4.137779931210005
283,user,4.137779931210005
284,library,4.137779931210005
285,managing,4.137779931210005
286,managed,4.137779931210005
287,single,4.037696472653023
288,touch,4.037696472653023
289,action,4.037696472653023
290,agent,4.037696472653023
291,otherwise,4.037696472653023
292,worldwide,4.037696472653023
293,insurance,4.037696472653023
294,review,3.9911764570181303
295,tools,3.9911764570181303
296,solution,3.9911764570181303
297,different,3.9467246944472967
298,mobile,3.9467246944472967
299,study,3.9041650800285006
300,come,3.9041650800285006
301,line,3.9041650800285006
302,acquire,3.9041650800285006
303,60,3.9041650800285006
304,manager,3.824122372354964
305,releases,3.823469830676589
306,good,3.7863820443721172
307,many,3.750014400201242
308,issues,3.750014400201242
309,clients,3.714923080389972
310,am,3.714923080389972
311,pre,3.714923080389972
312,enable,3.714923080389972
313,essential,3.714923080389972
314,independent,3.714923080389972
315,made,3.681021528714291
316,scale,3.681021528714291
317,technologies,3.6482317058913
318,trust,3.6482317058913
319,discover,3.6482317058913
320,standards,3.6164830075767194
321,sales,3.6164830075767194
322,systems,3.6164830075767194
323,management,3.5879037593638214
324,built,3.585711348909966
325,cookie,3.585711348909966
326,end,3.585711348909966
327,research,3.555858385760285
328,there,3.555858385760285
329,opportunity,3.555858385760285
330,english,3.555858385760285
331,major,3.5268708488870324
332,quick,3.5268708488870324
333,senior,3.498699971920336
334,such,3.4713009977322216
335,connect,3.4713009977322216
336,ensure,3.4713009977322216
337,agreement,3.4713009977322216
338,billion,3.4446327506500602
339,improve,3.3933394562625097
340,offers,3.3686468436721384
341,careers,3.359083057008333
342,complete,3.344549292093078
343,like,3.344549292093078
344,privacy,3.3233678222083203
345,track,3.2755564206061263
346,required,3.2535775138873513
347,mission,3.2320713086663875
348,home,3.2283175384826297
349,links,3.211017899468555
350,better,3.1701959049483
351,leader,3.1701959049483
352,looking,3.15039327765212
353,conditions,3.1119269968243244
354,only,3.074885725143975
355,success,3.074885725143975
356,information,3.0662856509624525
357,executive,3.039167642541896
358,approach,3.021775899830027
359,technical,3.021775899830027
360,being,3.0046814664707266
361,if,3.0046814664707266
362,asset,3.0046814664707266
363,working,2.9878743481543455
364,focus,2.971345046203135
365,today,2.939084183984914
366,no,2.907831640480809
367,esg,2.8925641683500207
368,000,2.8481124057791867
369,third,2.8481124057791867
370,technology,2.833723668327087
371,re,2.833723668327087
372,based,2.819539033335131
373,video,2.819539033335131
374,assets,2.7647307968401353
375,release,2.7514855700901153
376,13,2.725510083686854
377,corporation,2.725510083686854
378,map,2.7001922757025643
379,performance,2.6514021115331325
380,any,2.6395676538861297
381,year,2.627871614122938
382,do,2.5713594038595957
383,service,2.560430333327406
384,environment,2.54961941722319
385,how,2.54961941722319
386,info,2.5283420187759056
387,health,2.487099060241856
388,website,2.457246097092175
389,not,2.372688709064112
390,other,2.3460204619819507
391,value,2.3286287192700814
392,one,2.3030954172649167
393,site,2.2146844599208637
394,read,2.1124056108004456
395,through,2.1124056108004456
396,board,2.064939073561522
397,directors,2.013314708156215
398,stock,2.007045095142619
399,this,1.994622575144062
400,reserved,1.994622575144062
401,new,1.9762734364758656
402,view,1.964225097959691
403,rights,1.9117349153382945
404,we,1.666118508172026
405,overviewpromotionsfind,0.0
406,openings,0.0
407,opening,0.0
408,ownershipincome,0.0
409,openly,0.0
410,overvieworganizational,0.0
411,openmenu,0.0
412,owning,0.0
413,overviewpresentationmaps,0.0
414,ownership,0.0
415,owners,0.0
416,opened,0.0
417,overviewour,0.0
418,operationsoverview,0.0
419,owns,0.0
420,operationsview,0.0
421,operators,0.0
422,ontariocambridge,0.0
423,onto,0.0
424,onvio,0.0
425,oops,0.0
426,operator,0.0
427,oxnard,0.0
428,operationsworkforce,0.0
429,op,0.0
430,operationswe,0.0
431,opdivo,0.0
432,oxide,0.0
433,overviewonline,0.0
434,open,0.0
435,overviewoperations,0.0
436,overviewopportunitiesaccessibility,0.0
437,operationsstructure,0.0
438,oxford,0.0
439,operationswassa,0.0
440,openanimation,0.0
441,oxer1,0.0
442,owner,0.0
443,operationsreserves,0.0
444,openness,0.0
445,operational,0.0
446,overviewvpuretmlargo,0.0
447,operationaltynalmas,0.0
448,operationdenison,0.0
449,operationoptimization,0.0
450,overviewreasons,0.0
451,operations,0.0
452,operationsanalytical,0.0
453,operationsdenison,0.0
454,overviewvision,0.0
455,operationsenvironmentpermittingcommunity,0.0
456,overviewthe,0.0
457,operationsinvestment,0.0
458,operationsmontney,0.0
459,operationsnew,0.0
460,overviewtermsadressessearchsearch1busca,0.0
461,overviewstrategydirectorsofficersoperationsareas,0.0
462,operationsoperations,0.0
463,overviewsite,0.0
464,overviewstock,0.0
465,operationally,0.0
466,ontario,0.0
467,opens,0.0
468,operationab,0.0
469,operate,0.0
470,operatecanada,0.0
471,operated,0.0
472,operates,0.0
473,operating,0.0
474,operationsspace,0.0
475,owned,0.0
476,operationsservicing,0.0
477,operationsour,0.0
478,own,0.0
479,operationspanelslvlpulp,0.0
480,owen,0.0
481,operation,0.0
482,operationsoyu,0.0
483,owe,0.0
484,ovintiv,0.0
485,operationsoverviewnorth,0.0
486,overwhelmingly,0.0
487,overviewwhy,0.0
488,otx,0.0
489,onlineview,0.0
490,ontarians,0.0
491,olympics,0.0
492,old,0.0
493,older,0.0
494,oldest,0.0
495,olive,0.0
496,paediatric,0.0
497,olivier,0.0
498,pads,0.0
499,olson,0.0
500,olympic,0.0
501,pad,0.0
502,packs,0.0
503,om,0.0
504,packagingtc,0.0
505,oman,0.0
506,omers,0.0
507,omni,0.0
508,omnibus,0.0
509,omnichannel,0.0
510,packingenergy,0.0
511,packing,0.0
512,omolon,0.0
513,packer,0.0
514,onboard,0.0
515,packed,0.0
516,olaroz,0.0
517,oksut,0.0
518,oksettingscookie,0.0
519,oklearn,0.0
520,ofni,0.0
521,often,0.0
522,ogc,0.0
523,pages,0.0
524,oh,0.0
525,ohanley,0.0
526,pageinvestment,0.0
527,ohio,0.0
528,pagecorporate,0.0
529,pageabout,0.0
530,ohs,0.0
531,oil,0.0
532,page2021,0.0
533,oilfield,0.0
534,oilinvestorsfinancial,0.0
535,oils,0.0
536,oilused,0.0
537,page,0.0
538,oily,0.0
539,ok,0.0
540,okara,0.0
541,oklahoma,0.0
542,paediatrics,0.0
543,onboarding,0.0
544,packaging,0.0
545,ont,0.0
546,operatorstailings,0.0
547,onex,0.0
548,ongoing,0.0
549,onl4k,0.0
550,online,0.0
551,pablo,0.0
552,paas,0.0
553,pa,0.0
554,p3y,0.0
555,onlinecheck,0.0
556,p3dr,0.0
557,où,0.0
558,ozs,0.0
559,packageturquoise,0.0
560,onlinewe,0.0
561,onlinexperiences,0.0
562,oz,0.0
563,oyu,0.0
564,onlycheck,0.0
565,onour,0.0
566,onset,0.0
567,onshore,0.0
568,onsidelink,0.0
569,oxygen,0.0
570,onsite,0.0
571,onetestimonials,0.0
572,onesource,0.0
573,ones,0.0
574,paca,0.0
575,oncanada,0.0
576,packages,0.0
577,packagequalifying,0.0
578,oncap,0.0
579,once,0.0
580,onces,0.0
581,oncologist,0.0
582,oncology,0.0
583,oncolytic,0.0
584,oncolytics,0.0
585,oncy,0.0
586,ondundu,0.0
587,oneedge,0.0
588,packagenews2020201920182017201620152014201320122011201020092008contactsite,0.0
589,packaged,0.0
590,package,0.0
591,pack,0.0
592,pacific,0.0
593,paced,0.0
594,onehub,0.0
595,oneis,0.0
596,pace,0.0
597,onerous,0.0
598,overviewnewsevents,0.0
599,opportunities,0.0
600,ophthalmology,0.0
601,outs,0.0
602,organicsripple,0.0
603,organigram,0.0
604,organigrow,0.0
605,organisation,0.0
606,organization,0.0
607,outlooks,0.0
608,organizational,0.0
609,outlookoyu,0.0
610,organizationsustainability,0.0
611,organized,0.0
612,organizers,0.0
613,outlookexplorationreserves,0.0
614,organizing,0.0
615,outlook,0.0
616,outlines,0.0
617,outlined,0.0
618,outline,0.0
619,oribo,0.0
620,outlets,0.0
621,orientation,0.0
622,outlet,0.0
623,oriented,0.0
624,original,0.0
625,originally,0.0
626,originates,0.0
627,organics,0.0
628,outlookturquoise,0.0
629,organicare,0.0
630,outperforming,0.0
631,outreach,0.0
632,orangeville,0.0
633,orbit,0.0
634,order,0.0
635,outputpre,0.0
636,orderdenison,0.0
637,output,0.0
638,ordered,0.0
639,ordering,0.0
640,outplays,0.0
641,orders,0.0
642,ore,0.0
643,organically,0.0
644,outperformance,0.0
645,outperform,0.0
646,orea,0.0
647,orebody,0.0
648,orekakula,0.0
649,outpatient,0.0
650,orenda,0.0
651,outpacing,0.0
652,organic,0.0
653,outotec27,0.0
654,outotec,0.0
655,origination,0.0
656,outlays,0.0
657,originator,0.0
658,ouremail,0.0
659,osteoarthritis,0.0
660,osteomyelitis,0.0
661,osteoporosis,0.0
662,ot,0.0
663,otc,0.0
664,otcmkts,0.0
665,otcqb,0.0
666,otcqblatest,0.0
667,otcqx,0.0
668,ourgovernance,0.0
669,others,0.0
670,others11,0.0
671,osiskogr,0.0
672,ourbestbuildyet,0.0
673,ounces,0.0
674,othersec,0.0
675,ounce,0.0
676,otherstock,0.0
677,oua,0.0
678,ou,0.0
679,otjikoto,0.0
680,otjikotonamibia,0.0
681,otorgas,0.0
682,otra,0.0
683,ossington,0.0
684,osisko,0.0
685,outlast,0.0
686,outcome,0.0
687,orla,0.0
688,orlando,0.0
689,outfit,0.0
690,outdoor,0.0
691,ormiston,0.0
692,ornella,0.0
693,outdated,0.0
694,oro,0.0
695,ororea,0.0
696,orphan,0.0
697,outcomes,0.0
698,outbreak,0.0
699,osgoode,0.0
700,outage,0.0
701,os,0.0
702,oursuccess,0.0
703,osam,0.0
704,ourselves,0.0
705,osb,0.0
706,ours,0.0
707,osborne,0.0
708,oscar,0.0
709,ourproperties,0.0
710,osceola,0.0
711,outreachsocial,0.0
712,orange,0.0
713,overviewmission,0.0
714,outsized,0.0
715,overvieweventstruvetsdoctorscareers,0.0
716,overviewevents,0.0
717,opportunitiesdisclaimersaccessibility,0.0
718,opportunitiesdiscover,0.0
719,opportunitiesdistribution,0.0
720,overviewethics,0.0
721,overviewdirectorsmanagementethics,0.0
722,opportunitiesemployees,0.0
723,opportunitiesgeneral,0.0
724,opportunitiesinternships,0.0
725,overviewcorporate,0.0
726,overviewcode,0.0
727,opportunitiesjoin,0.0
728,overviewcmost,0.0
729,overviewces,0.0
730,overviewabout,0.0
731,opportunitieslocationslife,0.0
732,opportunitiesnegotiatorsprospectszonal,0.0
733,opportunitiesnewsnewscanadian,0.0
734,overviewa,0.0
735,opportunitiesrecruitment,0.0
736,overview,0.0
737,opportunitiestriangle,0.0
738,overstretched,0.0
739,overstock,0.0
740,overviewexplorationreserves,0.0
741,overviewfinancial,0.0
742,opportunitiescorporate,0.0
743,oppenheimer,0.0
744,overviewmessage,0.0
745,overviewmaps,0.0
746,opinion,0.0
747,opinions,0.0
748,overviewmanagementdirectorsadvisers,0.0
749,overviewlucara,0.0
750,overviewleadership,0.0
751,opioid,0.0
752,opioids,0.0
753,overviewinvestorsinvestors,0.0
754,oportunidades,0.0
755,overviewinvestment,0.0
756,opportunitiescore,0.0
757,overviewinterim,0.0
758,opportunistic,0.0
759,opportunistically,0.0
760,opportunites,0.0
761,ottawa,0.0
762,overviewhistorygeology,0.0
763,overviewhighlightspresentationmaps,0.0
764,opportunitiesall,0.0
765,opportunitiesargentinabrazilcanadachile,0.0
766,overviewgeology,0.0
767,opportunitiescanadausarecruitment,0.0
768,oversized,0.0
769,oversight,0.0
770,oversees,0.0
771,option,0.0
772,optimism,0.0
773,overhaul,0.0
774,optimization,0.0
775,overexpression,0.0
776,optimize,0.0
777,optimized,0.0
778,optimizing,0.0
779,optimum,0.0
780,overexpressed,0.0
781,opting,0.0
782,overcome,0.0
783,overall,0.0
784,optimise,0.0
785,ovalredefined,0.0
786,optional,0.0
787,outstanding,0.0
788,outsourced,0.0
789,optionality,0.0
790,options,0.0
791,optionsindependent,0.0
792,opções,0.0
793,outsource,0.0
794,oracle,0.0
795,oral,0.0
796,overhauls,0.0
797,optimale,0.0
798,overseen,0.0
799,overruns,0.0
800,overseeing,0.0
801,opportunityleadershipin,0.0
802,opportunties,0.0
803,opposes,0.0
804,opposing,0.0
805,oversee,0.0
806,overseas,0.0
807,oversaw,0.0
808,ops,0.0
809,overs,0.0
810,opsens,0.0
811,opt,0.0
812,optimal,0.0
813,optic,0.0
814,overpays,0.0
815,overnight,0.0
816,overlooked,0.0
