,term,score
0,devices,23.658497256484324
1,and,20.120241510578353
2,absolute,16.27453989557043
3,endpoint,11.332017377347396
4,cisos,11.332017377347396
5,simplify,11.157994623368136
6,healing,11.157994623368136
7,unbreakable,11.157994623368136
8,your,11.029854034943046
9,to,10.78239158725789
10,connection,9.690056273207734
11,self,9.46339890259373
12,capabilities,9.393216262971189
13,teams,9.134792800011176
14,device,8.750049014716264
15,data,8.546904611589248
16,security,7.748498438891286
17,absolu,7.3707567809121235
18,why,7.062608936637625
19,what,6.332128323042314
20,collectionthe,5.761318868478023
21,consolefour,5.761318868478023
22,stakefirmware,5.761318868478023
23,applicationsmanage,5.761318868478023
24,manufacturersavailable,5.761318868478023
25,worldwideextend,5.761318868478023
26,undeletable,5.666008688673698
27,resellers,5.666008688673698
28,remediate,5.666008688673698
29,prove,5.578997311684068
30,cybersecurity,5.578997311684068
31,with,5.571984104241423
32,recover,5.498954604010532
33,aren,5.42484663185681
34,distributors,5.42484663185681
35,securing,5.42484663185681
36,asking,5.355853760369858
37,thousands,5.355853760369858
38,depend,5.355853760369858
39,schools,5.355853760369858
40,embedded,5.230690617415853
41,automated,5.230690617415853
42,biggest,5.230690617415853
43,facing,5.1735322035759035
44,apps,5.1735322035759035
45,spend,5.1735322035759035
46,resilience,5.119464982305628
47,controls,5.068171687918078
48,it,4.991118915421943
49,tracking,4.972861508113752
50,extend,4.972861508113752
51,student,4.885850131124123
52,maximize,4.885850131124123
53,risks,4.885850131124123
54,challenge,4.885850131124123
55,intended,4.845028136603867
56,maintain,4.805807423450586
57,zero,4.696608131485594
58,cloud,4.662706579809913
59,protect,4.662706579809913
60,an,4.63540154186383
61,trends,4.629916756986923
62,touch,4.598168058672342
63,the,4.538470879285991
64,present,4.508555899982655
65,question,4.508555899982655
66,from,4.406235476012405
67,action,4.350331894767761
68,review,4.3262343431887
69,critical,4.302703845778506
70,manage,4.2797143275538065
71,discover,4.257241471701748
72,always,4.235262564982973
73,single,4.21375635976201
74,all,4.154903912375261
75,compliance,4.1518809560439225
76,systems,4.132078328747743
77,know,4.112660242890641
78,software,4.056570776239598
79,track,3.9695593992499676
80,platform,3.936769576426977
81,take,3.920769235080536
82,leader,3.9050208781123965
83,by,3.8916135268614407
84,ensure,3.889516691576431
85,customer,3.829797456874809
86,every,3.787237842456013
87,asset,3.773444520323677
88,customers,3.7598388682678987
89,on,3.6906076835606783
90,working,3.657184714207815
91,third,3.6330871626287546
92,today,3.5313044683188126
93,need,3.4995557700042323
94,info,3.4195130623306955
95,based,3.4004648673600015
96,performance,3.4004648673600015
97,leading,3.259882916738812
98,of,3.1738631971647715
99,global,3.1294300283413765
100,value,3.1080769038708076
101,these,3.0940906618960677
102,share,3.073471374693332
103,resources,3.0269513590584394
104,one,2.887754228898239
105,stock,2.870947110581858
106,learn,2.6478035592676483
107,management,2.617166589805758
108,use,2.608582846114367
109,investor,2.5667357361788667
110,financial,2.4804076526903693
111,as,2.317700770931915
112,or,2.2438210311197064
113,at,2.1777999300219126
114,that,2.100324617853622
115,are,2.038037987646754
116,is,1.7431356672214862
117,in,1.6686423633566192
118,org,0.0
119,organic,0.0
120,organically,0.0
121,orenda,0.0
122,orekakula,0.0
123,otherstock,0.0
124,orebody,0.0
125,orea,0.0
126,olivier,0.0
127,otcqb,0.0
128,organicare,0.0
129,olivia,0.0
130,organizaciones,0.0
131,organisms,0.0
132,organised,0.0
133,organisationsnummer,0.0
134,organisations,0.0
135,organisationen,0.0
136,organisational,0.0
137,organisation,0.0
138,organisatien,0.0
139,organisatie,0.0
140,organigrow,0.0
141,organigram,0.0
142,ordinarie,0.0
143,organicsripple,0.0
144,organics,0.0
145,ore,0.0
146,ordens,0.0
147,ordförande,0.0
148,optimizing,0.0
149,optionsindependent,0.0
150,options,0.0
151,optionality,0.0
152,optional,0.0
153,option,0.0
154,opting,0.0
155,optimum,0.0
156,olympics,0.0
157,opções,0.0
158,optimized,0.0
159,olägenheter,0.0
160,otjikotonamibia,0.0
161,optimize,0.0
162,optimizations,0.0
163,optimization,0.0
164,optimistic,0.0
165,olympic,0.0
166,opérons,0.0
167,orders,0.0
168,olsen,0.0
169,ordering,0.0
170,ordered,0.0
171,orderdenison,0.0
172,orderbook,0.0
173,order,0.0
174,organizando,0.0
175,otherwise,0.0
176,ordem,0.0
177,oracle,0.0
178,otjikoto,0.0
179,orbit,0.0
180,orangeville,0.0
181,orange,0.0
182,olson,0.0
183,olti,0.0
184,oral,0.0
185,olive,0.0
186,others11,0.0
187,organization,0.0
188,olaroz,0.0
189,oksut,0.0
190,osborne,0.0
191,osb,0.0
192,oktober,0.0
193,okusu,0.0
194,olan,0.0
195,osan,0.0
196,osam,0.0
197,osce,0.0
198,osac,0.0
199,os,0.0
200,oklahoma,0.0
201,olav,0.0
202,orti,0.0
203,orthographe,0.0
204,orthat,0.0
205,oscar,0.0
206,osceola,0.0
207,orpington,0.0
208,osteoporosis,0.0
209,otcqblatest,0.0
210,otcmkts,0.0
211,otcbb,0.0
212,otc,0.0
213,oksettingscookie,0.0
214,ot,0.0
215,osternacht,0.0
216,osteomyelitis,0.0
217,osgoode,0.0
218,oklearn,0.0
219,osteoarthritis,0.0
220,ossington,0.0
221,oss,0.0
222,oslagbart,0.0
223,osiskogr,0.0
224,osisko,0.0
225,orra,0.0
226,orphan,0.0
227,organizational,0.0
228,orgtitle,0.0
229,optimise,0.0
230,origin,0.0
231,oriented,0.0
232,others,0.0
233,orientation,0.0
234,oribo,0.0
235,oldest,0.0
236,organizing,0.0
237,originale,0.0
238,organizers,0.0
239,organized,0.0
240,organize,0.0
241,organizationsustainability,0.0
242,organizations,0.0
243,othersec,0.0
244,olika,0.0
245,original,0.0
246,other,0.0
247,ororea,0.0
248,originator,0.0
249,oro,0.0
250,old,0.0
251,ornella,0.0
252,ormiston,0.0
253,orlando,0.0
254,orla,0.0
255,origins,0.0
256,origination,0.0
257,okay,0.0
258,originating,0.0
259,older,0.0
260,originates,0.0
261,originate,0.0
262,originally,0.0
263,originales,0.0
264,otcqx,0.0
265,optimism,0.0
266,oman,0.0
267,optimale,0.0
268,onshore,0.0
269,opdivo,0.0
270,opaque,0.0
271,op,0.0
272,oorzaken,0.0
273,oops,0.0
274,ook,0.0
275,onze,0.0
276,onward,0.0
277,onvio,0.0
278,ontwikkeld,0.0
279,ontwikkelaars,0.0
280,onto,0.0
281,ontariocambridge,0.0
282,ontario,0.0
283,ontarians,0.0
284,ont,0.0
285,onstage,0.0
286,omnichannel,0.0
287,onsite,0.0
288,omnibus,0.0
289,omni,0.0
290,ope,0.0
291,openpgp,0.0
292,operates,0.0
293,operated,0.0
294,operatecanada,0.0
295,operate,0.0
296,omission,0.0
297,operadora,0.0
298,opentext,0.0
299,opens,0.0
